X1	X2	X3	X4	X5	taxonomic_group	GC3.mean	species	cor	p	upr	lwr
NA	NA	NA	NA	NA	eudicot_rosid	44.812	Cpapaya	0.0605119395556284	5.70245805462123e-24	0.0487899937388288	0.0722172188216159
NA	NA	NA	NA	NA	eudicot_rosid	41.474	Crubella	-0.123726235444645	1.22409146498692e-82	-0.136153867767956	-0.111259669329211
NA	NA	NA	NA	NA	eudicot_rosid	39.215	Csativus	0.0437446002877293	1.20171585798172e-10	0.0304414388635974	0.0570322667723243
NA	NA	NA	NA	NA	eudicot_rosid	39.491	Csinensis	-0.0102609491680201	0.0695947366372168	-0.0213417526243111	0.000822374891818097
NA	NA	NA	NA	NA	eudicot_asterid	39.233	Dcarota	-0.104486176119116	1.18318566205982e-78	-0.115290893268527	-0.0936567374251225
NA	NA	NA	NA	NA	eudicot_rosid	49.52	Egrandis	0.21628268005541	0	0.206409332352334	0.226111987978259
NA	NA	NA	NA	NA	eudicot_rosid	43.017	Esalsugineum	-0.0661253768592448	2.24170676912699e-25	-0.0785241571634068	-0.053706142704413
NA	NA	NA	NA	NA	eudicot_rosid	44.755	Fvesca	0.116117600108622	6.38739194137103e-99	0.105432976680353	0.126775416361668
NA	NA	NA	NA	NA	eudicot_rosid	39.571	Gmax	0.0334672120874882	1.6141253975242e-15	0.0252396472457901	0.0416902433678736
NA	NA	NA	NA	NA	eudicot_rosid	38.997	Graimondii	-0.0611437559837327	6.93556803251114e-41	-0.0700636236484702	-0.0522141114145372
NA	NA	NA	NA	NA	other_eudicot	47.516	Kfedtschenkoi	0.132691005991972	7.17660460148849e-116	0.121458721246479	0.143889312048527
NA	NA	NA	NA	NA	other_eudicot	47.591	Klaxiflora	0.0943295160324621	6.79246792944408e-94	0.0853881530893202	0.103255686513012
NA	NA	NA	NA	NA	eudicot_rosid	47.395	Lusitatissimum	-0.0877818470059408	3.97731204144037e-75	-0.0971008163266961	-0.0784474874022938
NA	NA	NA	NA	NA	monocot_commelinid	48.81	Macuminata	0.291933735768766	0	0.282321098211375	0.301487755616508
NA	NA	NA	NA	NA	eudicot_rosid	44.075	Mdomestica	0.0494853080461914	9.72319231779255e-36	0.0417244995559588	0.0572401454859605
NA	NA	NA	NA	NA	eudicot_rosid	38.755	Mesculenta	-0.0362141290607355	3.19310698447539e-10	-0.0474839695536026	-0.0249350698904147
NA	NA	NA	NA	NA	eudicot_asterid	44.103	Mguttatus	0.152585947355255	8.57301431526282e-136	0.140717647648592	0.16441039953671
NA	NA	NA	NA	NA	eudicot_rosid	36.22	Mtruncatula	-0.027033914362762	5.83081287488531e-10	-0.0355801133624882	-0.0184837616666657
NA	NA	NA	NA	NA	monocot_commelinid	55.878	Osativa	0.484646280783068	0	0.477141602746852	0.492080281328238
NA	NA	NA	NA	NA	monocot_commelinid	55.769	Othomaeum	0.392074546415478	0	0.381864625527492	0.402188782866965
NA	NA	NA	NA	NA	monocot_commelinid	55.775	Phallii	0.456379292251129	0	0.44805467337749	0.464624776605109
NA	NA	NA	NA	NA	eudicot_rosid	41.324	Ppersica	-0.0140280098278596	0.0169502027230704	-0.0255386381666227	-0.00251366228601146
NA	NA	NA	NA	NA	eudicot_rosid	39.308	Ptrichocarpa	-0.0908432662622292	1.42501823553213e-92	-0.0995067140492368	-0.0821660466032862
NA	NA	NA	NA	NA	monocot_commelinid	55.839	Pvirgatum	0.440935804021597	0	0.435697480485728	0.44614425995511
NA	NA	NA	NA	NA	eudicot_rosid	39.52	Pvulgaris	0.0320297990990378	3.4340170943894e-07	0.0197206382907719	0.0443292515844685
NA	NA	NA	NA	NA	eudicot_rosid	41.993	Rcommunis	0.350528053309593	0	0.340627868329962	0.360350514777824
NA	NA	NA	NA	NA	monocot_commelinid	55.096	Sbicolor	0.416775596779156	0	0.407466301224245	0.425998281997336
NA	NA	NA	NA	NA	monocot_commelinid	56.331	Sitalica	0.436078646776101	0	0.427057433701004	0.445013058011126
NA	NA	NA	NA	NA	eudicot_asterid	36.966	Slycopersicum	-0.0241059409542287	1.41572979473547e-05	-0.0349808235509387	-0.0132253503626932
NA	NA	NA	NA	NA	monocot_alismatid	58.903	Spolyrhiza	0.359464715044172	0	0.347219369366151	0.371587500725504
NA	NA	NA	NA	NA	eudicot_rosid	40.101	Spurpurea	-0.0466888430734826	9.76165333804417e-21	-0.0564670372378013	-0.0369016930812855
NA	NA	NA	NA	NA	eudicot_asterid	37.844	Stuberosum	-0.0412141016155615	1.43196783924139e-22	-0.0494637876494945	-0.0329587923636155
NA	NA	NA	NA	NA	monocot_commelinid	55.521	Sviridis	0.434838577995264	0	0.426188151818502	0.443409489545046
NA	NA	NA	NA	NA	eudicot_rosid	39.701	Tcacao	-0.056647152986358	9.13330382365264e-19	-0.0691596026243137	-0.0441168833898605
NA	NA	NA	NA	NA	eudicot_rosid	34.873	Tpratense	-0.0281733769267284	3.40554946812727e-07	-0.0389915703897596	-0.0173485797495437
NA	NA	NA	NA	NA	eudicot_rosid	43.357	Vvinifera	0.118235415092184	7.38001288100051e-71	0.105332165300525	0.131098858929442
NA	NA	NA	NA	NA	monocot_alismatid	38.478	Zmarina	0.0665781690757312	4.62894873953668e-19	0.0519857553735785	0.0811421578959346
NA	NA	NA	NA	NA	monocot_commelinid	54.267	Zmays	0.425265061444063	0	0.419860661627258	0.430639304048147
