species	cor	p	upr	lwr	taxonomic_group	GC3.mean
Macuminata	0.255091983406388	1.71375713898404e-251	0.241006080978131	0.269070439283932	monocot_commelinid	48.81
Mdomestica	-0.0198188546912627	0.000918098172560542	-0.03153176553046	-0.00810050119964888	eudicot_rosid	44.075
Mesculenta	-0.181218443868359	5.42571468684659e-95	-0.197915974961574	-0.164415773570264	eudicot_rosid	38.755
Mguttatus	-0.00993339521228688	0.287606578462469	-0.0282356408031109	0.00837550827871572	eudicot_asterid	44.103
Mtruncatula	-0.101314880674221	4.57083492189908e-57	-0.113675387262347	-0.0889230154527924	eudicot_rosid	36.22
Osativa	0.454228857267462	0	0.442459184358556	0.465842079117788	monocot_commelinid	55.878
Othomaeum	0.383702551046521	0	0.368418356533983	0.398779376463934	monocot_commelinid	55.769
Phallii	0.436048049228247	0	0.423507361602583	0.448421639204805	monocot_commelinid	55.775
Ppersica	-0.129580990515505	4.43703841033637e-50	-0.146394834249944	-0.112692297333137	eudicot_rosid	41.324
Ptrichocarpa	-0.228263647837891	1.03531438870038e-275	-0.240341055418681	-0.21611557805076	eudicot_rosid	39.308
Pvirgatum	0.419496195915243	0	0.41178518795565	0.427147135669984	monocot_commelinid	55.839
Pvulgaris	-0.0469987305220948	6.70825841550042e-07	-0.0654859621897637	-0.0284792453222485	eudicot_rosid	39.52
Rcommunis	-0.102354327062106	2.78862919006885e-28	-0.120366362908627	-0.0842749227011147	eudicot_rosid	41.993
Sbicolor	0.415074375913499	0	0.401348136027518	0.428614217827218	monocot_commelinid	55.096
Sitalica	0.439475024610418	0	0.426323743454678	0.452440558023932	monocot_commelinid	56.331
Slycopersicum	-0.191627718138561	1.52383571865601e-116	-0.207489370483851	-0.175665330280959	eudicot_asterid	36.966
Spolyrhiza	0.273702256427204	3.09860800720845e-150	0.254212309890976	0.292969991189007	monocot_alismatid	58.903
Spurpurea	-0.199006817932744	2.912171796724e-162	-0.212905528775326	-0.185027586808748	eudicot_rosid	40.101
Stuberosum	-0.17025606699785	2.71912154718873e-142	-0.183078799322682	-0.157375415009726	eudicot_asterid	37.844
Sviridis	0.442421954877019	0	0.429872624652151	0.454800380158749	monocot_commelinid	55.521
Tcacao	-0.167494856263998	1.9761521887682e-70	-0.18554869713835	-0.149327973451825	eudicot_rosid	39.701
Tpratense	-0.20755516558996	1.62172590888723e-133	-0.223503949730437	-0.191495270255627	eudicot_rosid	34.873
Vvinifera	-0.0156825837541365	0.10015159259852	-0.0343672037322083	0.00301299539304964	eudicot_rosid	43.357
Zmarina	-0.0383861963466103	0.000611251243963144	-0.0602971254546768	-0.0164382929936153	monocot_alismatid	38.478
Zmays	0.374076783929531	0	0.364815137052819	0.383264410607343	monocot_commelinid	54.267
